datasetSize;arrayType;sortType;operations
1600;Random(0-5);bubbleSortAiversonAll;10702225
1600;Random(0-4000);bubbleSortAiversonAll;11519037
1600;AlmostSorted;bubbleSortAiversonAll;4188692
1600;ReversedSorted;bubbleSortAiversonAll;15361606
1700;Random(0-5);bubbleSortAiversonAll;12024410
1700;Random(0-4000);bubbleSortAiversonAll;12939480
1700;AlmostSorted;bubbleSortAiversonAll;5333186
1700;ReversedSorted;bubbleSortAiversonAll;17341706
1800;Random(0-5);bubbleSortAiversonAll;13421400
1800;Random(0-4000);bubbleSortAiversonAll;14480098
1800;AlmostSorted;bubbleSortAiversonAll;5386634
1800;ReversedSorted;bubbleSortAiversonAll;19441806
1900;Random(0-5);bubbleSortAiversonAll;15026772
1900;Random(0-4000);bubbleSortAiversonAll;16213053
1900;AlmostSorted;bubbleSortAiversonAll;5913464
1900;ReversedSorted;bubbleSortAiversonAll;21661906
2000;Random(0-5);bubbleSortAiversonAll;16652940
2000;Random(0-4000);bubbleSortAiversonAll;17964440
2000;AlmostSorted;bubbleSortAiversonAll;7914386
2000;ReversedSorted;bubbleSortAiversonAll;24002006
2100;Random(0-5);bubbleSortAiversonAll;18449481
2100;Random(0-4000);bubbleSortAiversonAll;19905316
2100;AlmostSorted;bubbleSortAiversonAll;7917704
2100;ReversedSorted;bubbleSortAiversonAll;26462106
2200;Random(0-5);bubbleSortAiversonAll;20132499
2200;Random(0-4000);bubbleSortAiversonAll;21721279
2200;AlmostSorted;bubbleSortAiversonAll;7925888
2200;ReversedSorted;bubbleSortAiversonAll;29042206
2300;Random(0-5);bubbleSortAiversonAll;22169998
2300;Random(0-4000);bubbleSortAiversonAll;23894130
2300;AlmostSorted;bubbleSortAiversonAll;7933220
2300;ReversedSorted;bubbleSortAiversonAll;31742306
2400;Random(0-5);bubbleSortAiversonAll;24140797
2400;Random(0-4000);bubbleSortAiversonAll;26025124
2400;AlmostSorted;bubbleSortAiversonAll;8739752
2400;ReversedSorted;bubbleSortAiversonAll;34562406
2500;Random(0-5);bubbleSortAiversonAll;26150132
2500;Random(0-4000);bubbleSortAiversonAll;28205577
2500;AlmostSorted;bubbleSortAiversonAll;8851646
2500;ReversedSorted;bubbleSortAiversonAll;37502506
2600;Random(0-5);bubbleSortAiversonAll;28090245
2600;Random(0-4000);bubbleSortAiversonAll;30352187
2600;AlmostSorted;bubbleSortAiversonAll;9253868
2600;ReversedSorted;bubbleSortAiversonAll;40562606
2700;Random(0-5);bubbleSortAiversonAll;30462026
2700;Random(0-4000);bubbleSortAiversonAll;32852333
2700;AlmostSorted;bubbleSortAiversonAll;10576538
2700;ReversedSorted;bubbleSortAiversonAll;43742706
2800;Random(0-5);bubbleSortAiversonAll;32701172
2800;Random(0-4000);bubbleSortAiversonAll;35301345
2800;AlmostSorted;bubbleSortAiversonAll;10832786
2800;ReversedSorted;bubbleSortAiversonAll;47042806
2900;Random(0-5);bubbleSortAiversonAll;35111464
2900;Random(0-4000);bubbleSortAiversonAll;37936291
2900;AlmostSorted;bubbleSortAiversonAll;11013380
2900;ReversedSorted;bubbleSortAiversonAll;50462906
3000;Random(0-5);bubbleSortAiversonAll;37636987
3000;Random(0-4000);bubbleSortAiversonAll;40622820
3000;AlmostSorted;bubbleSortAiversonAll;11326766
3000;ReversedSorted;bubbleSortAiversonAll;54003006
3100;Random(0-5);bubbleSortAiversonAll;40091421
3100;Random(0-4000);bubbleSortAiversonAll;43286553
3100;AlmostSorted;bubbleSortAiversonAll;11332070
3100;ReversedSorted;bubbleSortAiversonAll;57663106
3200;Random(0-5);bubbleSortAiversonAll;42719197
3200;Random(0-4000);bubbleSortAiversonAll;46096538
3200;AlmostSorted;bubbleSortAiversonAll;11500370
3200;ReversedSorted;bubbleSortAiversonAll;61443206
3300;Random(0-5);bubbleSortAiversonAll;45448287
3300;Random(0-4000);bubbleSortAiversonAll;49064446
3300;AlmostSorted;bubbleSortAiversonAll;11508368
3300;ReversedSorted;bubbleSortAiversonAll;65343306
3400;Random(0-5);bubbleSortAiversonAll;48341244
3400;Random(0-4000);bubbleSortAiversonAll;52201325
3400;AlmostSorted;bubbleSortAiversonAll;11525078
3400;ReversedSorted;bubbleSortAiversonAll;69363406
3500;Random(0-5);bubbleSortAiversonAll;51219118
3500;Random(0-4000);bubbleSortAiversonAll;55357408
3500;AlmostSorted;bubbleSortAiversonAll;11541458
3500;ReversedSorted;bubbleSortAiversonAll;73503506
3600;Random(0-5);bubbleSortAiversonAll;54212239
3600;Random(0-4000);bubbleSortAiversonAll;58555550
3600;AlmostSorted;bubbleSortAiversonAll;12234686
3600;ReversedSorted;bubbleSortAiversonAll;77763606
3700;Random(0-5);bubbleSortAiversonAll;57310411
3700;Random(0-4000);bubbleSortAiversonAll;61924557
3700;AlmostSorted;bubbleSortAiversonAll;14241188
3700;ReversedSorted;bubbleSortAiversonAll;82143706
3800;Random(0-5);bubbleSortAiversonAll;60444805
3800;Random(0-4000);bubbleSortAiversonAll;65300450
3800;AlmostSorted;bubbleSortAiversonAll;14328068
3800;ReversedSorted;bubbleSortAiversonAll;86643806
3900;Random(0-5);bubbleSortAiversonAll;63575992
3900;Random(0-4000);bubbleSortAiversonAll;68642655
3900;AlmostSorted;bubbleSortAiversonAll;17193206
3900;ReversedSorted;bubbleSortAiversonAll;91263906
4000;Random(0-5);bubbleSortAiversonAll;66896640
4000;Random(0-4000);bubbleSortAiversonAll;72238177
4000;AlmostSorted;bubbleSortAiversonAll;18290702
4000;ReversedSorted;bubbleSortAiversonAll;96004006
4100;Random(0-5);bubbleSortAiversonAll;70191188
4100;Random(0-4000);bubbleSortAiversonAll;75825719
4100;AlmostSorted;bubbleSortAiversonAll;53070526
4100;ReversedSorted;bubbleSortAiversonAll;100864106
50;Random(0-5);insertionSort;5201
50;Random(0-4000);insertionSort;6441
50;AlmostSorted;insertionSort;901
50;ReversedSorted;insertionSort;12691
100;Random(0-5);insertionSort;18291
100;Random(0-4000);insertionSort;22911
100;AlmostSorted;insertionSort;2651
100;ReversedSorted;insertionSort;50391
150;Random(0-5);insertionSort;43351
150;Random(0-4000);insertionSort;52651
150;AlmostSorted;insertionSort;4511
150;ReversedSorted;insertionSort;113091
200;Random(0-5);insertionSort;80111
200;Random(0-4000);insertionSort;96491
200;AlmostSorted;insertionSort;6671
200;ReversedSorted;insertionSort;200791
250;Random(0-5);insertionSort;137251
250;Random(0-4000);insertionSort;163081
250;AlmostSorted;insertionSort;9121
250;ReversedSorted;insertionSort;313491
300;Random(0-5);insertionSort;195041
300;Random(0-4000);insertionSort;230851
300;AlmostSorted;insertionSort;12081
300;ReversedSorted;insertionSort;451191
400;Random(0-5);insertionSort;343811
400;Random(0-4000);insertionSort;410831
400;AlmostSorted;insertionSort;25351
400;ReversedSorted;insertionSort;801591
500;Random(0-5);insertionSort;527931
500;Random(0-4000);insertionSort;631151
500;AlmostSorted;insertionSort;36621
500;ReversedSorted;insertionSort;1251991
600;Random(0-5);insertionSort;760521
600;Random(0-4000);insertionSort;907411
600;AlmostSorted;insertionSort;43041
600;ReversedSorted;insertionSort;1802391
700;Random(0-5);insertionSort;1038491
700;Random(0-4000);insertionSort;1239241
700;AlmostSorted;insertionSort;50151
700;ReversedSorted;insertionSort;2452791
800;Random(0-5);insertionSort;1352931
800;Random(0-4000);insertionSort;1618311
800;AlmostSorted;insertionSort;70221
800;ReversedSorted;insertionSort;3203191
900;Random(0-5);insertionSort;1676191
900;Random(0-4000);insertionSort;2012971
900;AlmostSorted;insertionSort;89441
900;ReversedSorted;insertionSort;4053591
1000;Random(0-5);insertionSort;2074181
1000;Random(0-4000);insertionSort;2492721
1000;AlmostSorted;insertionSort;94501
1000;ReversedSorted;insertionSort;5003991
1100;Random(0-5);insertionSort;2488451
1100;Random(0-4000);insertionSort;3001671
1100;AlmostSorted;insertionSort;96611
1100;ReversedSorted;insertionSort;6054391
1200;Random(0-5);insertionSort;2981471
1200;Random(0-4000);insertionSort;3586801
1200;AlmostSorted;insertionSort;100811
1200;ReversedSorted;insertionSort;7204791
1300;Random(0-5);insertionSort;3502431
1300;Random(0-4000);insertionSort;4209311
1300;AlmostSorted;insertionSort;106101
1300;ReversedSorted;insertionSort;8455191
1400;Random(0-5);insertionSort;4162731
1400;Random(0-4000);insertionSort;4977981
1400;AlmostSorted;insertionSort;114321
1400;ReversedSorted;insertionSort;9805591
1500;Random(0-5);insertionSort;4748441
1500;Random(0-4000);insertionSort;5681961
1500;AlmostSorted;insertionSort;121891
1500;ReversedSorted;insertionSort;11255991
1600;Random(0-5);insertionSort;5385791
1600;Random(0-4000);insertionSort;6447371
1600;AlmostSorted;insertionSort;138011
1600;ReversedSorted;insertionSort;12806391
1700;Random(0-5);insertionSort;5977351
1700;Random(0-4000);insertionSort;7172901
1700;AlmostSorted;insertionSort;157431
1700;ReversedSorted;insertionSort;14456791
1800;Random(0-5);insertionSort;6695571
1800;Random(0-4000);insertionSort;8043891
1800;AlmostSorted;insertionSort;166191
1800;ReversedSorted;insertionSort;16207191
1900;Random(0-5);insertionSort;7525421
1900;Random(0-4000);insertionSort;9018281
1900;AlmostSorted;insertionSort;182361
1900;ReversedSorted;insertionSort;18057591
2000;Random(0-5);insertionSort;8368391
2000;Random(0-4000);insertionSort;10029111
2000;AlmostSorted;insertionSort;209971
2000;ReversedSorted;insertionSort;20007991
2100;Random(0-5);insertionSort;9367301
2100;Random(0-4000);insertionSort;11183861
2100;AlmostSorted;insertionSort;212281
2100;ReversedSorted;insertionSort;22058391
2200;Random(0-5);insertionSort;10161801
2200;Random(0-4000);insertionSort;12151801
2200;AlmostSorted;insertionSort;217081
2200;ReversedSorted;insertionSort;24208791
2300;Random(0-5);insertionSort;11260651
2300;Random(0-4000);insertionSort;13446891
2300;AlmostSorted;insertionSort;222821
2300;ReversedSorted;insertionSort;26459191
2400;Random(0-5);insertionSort;12283111
2400;Random(0-4000);insertionSort;14662341
2400;AlmostSorted;insertionSort;233941
2400;ReversedSorted;insertionSort;28809591
2500;Random(0-5);insertionSort;13249121
2500;Random(0-4000);insertionSort;15825341
2500;AlmostSorted;insertionSort;246591
2500;ReversedSorted;insertionSort;31259991
2600;Random(0-5);insertionSort;14243571
2600;Random(0-4000);insertionSort;17033791
2600;AlmostSorted;insertionSort;262121
2600;ReversedSorted;insertionSort;33810391
2700;Random(0-5);insertionSort;15346291
2700;Random(0-4000);insertionSort;18367251
2700;AlmostSorted;insertionSort;286451
2700;ReversedSorted;insertionSort;36460791
2800;Random(0-5);insertionSort;16406921
2800;Random(0-4000);insertionSort;19681281
2800;AlmostSorted;insertionSort;302611
2800;ReversedSorted;insertionSort;39211191
2900;Random(0-5);insertionSort;17780211
2900;Random(0-4000);insertionSort;21306861
2900;AlmostSorted;insertionSort;314731
2900;ReversedSorted;insertionSort;42061591
3000;Random(0-5);insertionSort;19078261
3000;Random(0-4000);insertionSort;22857941
3000;AlmostSorted;insertionSort;324801
3000;ReversedSorted;insertionSort;45011991
3100;Random(0-5);insertionSort;20243921
3100;Random(0-4000);insertionSort;24270221
3100;AlmostSorted;insertionSort;327101
3100;ReversedSorted;insertionSort;48062391
3200;Random(0-5);insertionSort;21434941
3200;Random(0-4000);insertionSort;25723111
3200;AlmostSorted;insertionSort;333101
3200;ReversedSorted;insertionSort;51212791
3300;Random(0-5);insertionSort;22853421
3300;Random(0-4000);insertionSort;27394711
3300;AlmostSorted;insertionSort;339271
3300;ReversedSorted;insertionSort;54463191
3400;Random(0-5);insertionSort;24399201
3400;Random(0-4000);insertionSort;29222261
3400;AlmostSorted;insertionSort;348371
3400;ReversedSorted;insertionSort;57813591
3500;Random(0-5);insertionSort;25985731
3500;Random(0-4000);insertionSort;31106681
3500;AlmostSorted;insertionSort;361041
3500;ReversedSorted;insertionSort;61263991
3600;Random(0-5);insertionSort;27432791
3600;Random(0-4000);insertionSort;32841871
3600;AlmostSorted;insertionSort;375891
3600;ReversedSorted;insertionSort;64814391
3700;Random(0-5);insertionSort;29070721
3700;Random(0-4000);insertionSort;34791631
3700;AlmostSorted;insertionSort;403091
3700;ReversedSorted;insertionSort;68464791
3800;Random(0-5);insertionSort;30621721
3800;Random(0-4000);insertionSort;36658931
3800;AlmostSorted;insertionSort;417281
3800;ReversedSorted;insertionSort;72215191
3900;Random(0-5);insertionSort;32199731
3900;Random(0-4000);insertionSort;38549841
3900;AlmostSorted;insertionSort;437851
3900;ReversedSorted;insertionSort;76065591
4000;Random(0-5);insertionSort;33840481
4000;Random(0-4000);insertionSort;40526051
4000;AlmostSorted;insertionSort;461191
4000;ReversedSorted;insertionSort;80015991
4100;Random(0-5);insertionSort;35468561
4100;Random(0-4000);insertionSort;42469651
4100;AlmostSorted;insertionSort;4461091
4100;ReversedSorted;insertionSort;84066391
50;Random(0-5);binaryInsertionSort;6373
50;Random(0-4000);binaryInsertionSort;5817
50;AlmostSorted;binaryInsertionSort;2493
50;ReversedSorted;binaryInsertionSort;9335
100;Random(0-5);binaryInsertionSort;20479
100;Random(0-4000);binaryInsertionSort;18391
100;AlmostSorted;binaryInsertionSort;6187
100;ReversedSorted;binaryInsertionSort;34431
150;Random(0-5);binaryInsertionSort;44667
150;Random(0-4000);binaryInsertionSort;39197
150;AlmostSorted;binaryInsertionSort;10283
150;ReversedSorted;binaryInsertionSort;74815
200;Random(0-5);binaryInsertionSort;78873
200;Random(0-4000);binaryInsertionSort;68699
200;AlmostSorted;binaryInsertionSort;14879
200;ReversedSorted;binaryInsertionSort;130415
250;Random(0-5);binaryInsertionSort;127501
250;Random(0-4000);binaryInsertionSort;111997
250;AlmostSorted;binaryInsertionSort;19729
250;ReversedSorted;binaryInsertionSort;201015
300;Random(0-5);binaryInsertionSort;178911
300;Random(0-4000);binaryInsertionSort;156063
300;AlmostSorted;binaryInsertionSort;24941
300;ReversedSorted;binaryInsertionSort;286975
400;Random(0-5);binaryInsertionSort;310001
400;Random(0-4000);binaryInsertionSort;271293
400;AlmostSorted;binaryInsertionSort;39983
400;ReversedSorted;binaryInsertionSort;503975
500;Random(0-5);binaryInsertionSort;472985
500;Random(0-4000);binaryInsertionSort;411009
500;AlmostSorted;binaryInsertionSort;54305
500;ReversedSorted;binaryInsertionSort;780975
600;Random(0-5);binaryInsertionSort;674595
600;Random(0-4000);binaryInsertionSort;584505
600;AlmostSorted;binaryInsertionSort;65917
600;ReversedSorted;binaryInsertionSort;1118687
700;Random(0-5);binaryInsertionSort;913641
700;Random(0-4000);binaryInsertionSort;791611
700;AlmostSorted;binaryInsertionSort;78543
700;ReversedSorted;binaryInsertionSort;1516487
800;Random(0-5);binaryInsertionSort;1185319
800;Random(0-4000);binaryInsertionSort;1027129
800;AlmostSorted;binaryInsertionSort;98833
800;ReversedSorted;binaryInsertionSort;1974287
900;Random(0-5);binaryInsertionSort;1471697
900;Random(0-4000);binaryInsertionSort;1272275
900;AlmostSorted;binaryInsertionSort;118725
900;ReversedSorted;binaryInsertionSort;2492087
1000;Random(0-5);binaryInsertionSort;1813777
1000;Random(0-4000);binaryInsertionSort;1568573
1000;AlmostSorted;binaryInsertionSort;130121
1000;ReversedSorted;binaryInsertionSort;3069887
1100;Random(0-5);binaryInsertionSort;2175443
1100;Random(0-4000);binaryInsertionSort;1882491
1100;AlmostSorted;binaryInsertionSort;140027
1100;ReversedSorted;binaryInsertionSort;3708303
1200;Random(0-5);binaryInsertionSort;2594525
1200;Random(0-4000);binaryInsertionSort;2242291
1200;AlmostSorted;binaryInsertionSort;150923
1200;ReversedSorted;binaryInsertionSort;4406903
1300;Random(0-5);binaryInsertionSort;3040435
1300;Random(0-4000);binaryInsertionSort;2624715
1300;AlmostSorted;binaryInsertionSort;162905
1300;ReversedSorted;binaryInsertionSort;5165503
1400;Random(0-5);binaryInsertionSort;3579721
1400;Random(0-4000);binaryInsertionSort;3094963
1400;AlmostSorted;binaryInsertionSort;176989
1400;ReversedSorted;binaryInsertionSort;5984103
1500;Random(0-5);binaryInsertionSort;4084053
1500;Random(0-4000);binaryInsertionSort;3526373
1500;AlmostSorted;binaryInsertionSort;190515
1500;ReversedSorted;binaryInsertionSort;6862703
1600;Random(0-5);binaryInsertionSort;4630029
1600;Random(0-4000);binaryInsertionSort;3994705
1600;AlmostSorted;binaryInsertionSort;209339
1600;ReversedSorted;binaryInsertionSort;7801303
1700;Random(0-5);binaryInsertionSort;5159253
1700;Random(0-4000);binaryInsertionSort;4439089
1700;AlmostSorted;binaryInsertionSort;230095
1700;ReversedSorted;binaryInsertionSort;8799903
1800;Random(0-5);binaryInsertionSort;5774193
1800;Random(0-4000);binaryInsertionSort;4971015
1800;AlmostSorted;binaryInsertionSort;244191
1800;ReversedSorted;binaryInsertionSort;9858503
1900;Random(0-5);binaryInsertionSort;6465437
1900;Random(0-4000);binaryInsertionSort;5564961
1900;AlmostSorted;binaryInsertionSort;263053
1900;ReversedSorted;binaryInsertionSort;10977103
2000;Random(0-5);binaryInsertionSort;7174917
2000;Random(0-4000);binaryInsertionSort;6180887
2000;AlmostSorted;binaryInsertionSort;288779
2000;ReversedSorted;binaryInsertionSort;12155703
2100;Random(0-5);binaryInsertionSort;7987897
2100;Random(0-4000);binaryInsertionSort;6883195
2100;AlmostSorted;binaryInsertionSort;299429
2100;ReversedSorted;binaryInsertionSort;13394727
2200;Random(0-5);binaryInsertionSort;8689339
2200;Random(0-4000);binaryInsertionSort;7473489
2200;AlmostSorted;binaryInsertionSort;311469
2200;ReversedSorted;binaryInsertionSort;14694127
2300;Random(0-5);binaryInsertionSort;9583463
2300;Random(0-4000);binaryInsertionSort;8260195
2300;AlmostSorted;binaryInsertionSort;324089
2300;ReversedSorted;binaryInsertionSort;16053527
2400;Random(0-5);binaryInsertionSort;10441343
2400;Random(0-4000);binaryInsertionSort;8999201
2400;AlmostSorted;binaryInsertionSort;340041
2400;ReversedSorted;binaryInsertionSort;17472927
2500;Random(0-5);binaryInsertionSort;11273803
2500;Random(0-4000);binaryInsertionSort;9706677
2500;AlmostSorted;binaryInsertionSort;356975
2500;ReversedSorted;binaryInsertionSort;18952327
2600;Random(0-5);binaryInsertionSort;12135355
2600;Random(0-4000);binaryInsertionSort;10441541
2600;AlmostSorted;binaryInsertionSort;376237
2600;ReversedSorted;binaryInsertionSort;20491727
2700;Random(0-5);binaryInsertionSort;13071897
2700;Random(0-4000);binaryInsertionSort;11251583
2700;AlmostSorted;binaryInsertionSort;400147
2700;ReversedSorted;binaryInsertionSort;22091127
2800;Random(0-5);binaryInsertionSort;13993655
2800;Random(0-4000);binaryInsertionSort;12049951
2800;AlmostSorted;binaryInsertionSort;419419
2800;ReversedSorted;binaryInsertionSort;23750527
2900;Random(0-5);binaryInsertionSort;15112269
2900;Random(0-4000);binaryInsertionSort;13035345
2900;AlmostSorted;binaryInsertionSort;436171
2900;ReversedSorted;binaryInsertionSort;25469927
3000;Random(0-5);binaryInsertionSort;16195321
3000;Random(0-4000);binaryInsertionSort;13975981
3000;AlmostSorted;binaryInsertionSort;452029
3000;ReversedSorted;binaryInsertionSort;27249327
3100;Random(0-5);binaryInsertionSort;17209815
3100;Random(0-4000);binaryInsertionSort;14833495
3100;AlmostSorted;binaryInsertionSort;463369
3100;ReversedSorted;binaryInsertionSort;29088727
3200;Random(0-5);binaryInsertionSort;18248925
3200;Random(0-4000);binaryInsertionSort;15715339
3200;AlmostSorted;binaryInsertionSort;476929
3200;ReversedSorted;binaryInsertionSort;30988127
3300;Random(0-5);binaryInsertionSort;19435475
3300;Random(0-4000);binaryInsertionSort;16728501
3300;AlmostSorted;binaryInsertionSort;490335
3300;ReversedSorted;binaryInsertionSort;32947527
3400;Random(0-5);binaryInsertionSort;20706259
3400;Random(0-4000);binaryInsertionSort;17835265
3400;AlmostSorted;binaryInsertionSort;505619
3400;ReversedSorted;binaryInsertionSort;34966927
3500;Random(0-5);binaryInsertionSort;22011545
3500;Random(0-4000);binaryInsertionSort;18976225
3500;AlmostSorted;binaryInsertionSort;523173
3500;ReversedSorted;binaryInsertionSort;37046327
3600;Random(0-5);binaryInsertionSort;23244969
3600;Random(0-4000);binaryInsertionSort;20027785
3600;AlmostSorted;binaryInsertionSort;542043
3600;ReversedSorted;binaryInsertionSort;39185727
3700;Random(0-5);binaryInsertionSort;24603157
3700;Random(0-4000);binaryInsertionSort;21208007
3700;AlmostSorted;binaryInsertionSort;568315
3700;ReversedSorted;binaryInsertionSort;41385127
3800;Random(0-5);binaryInsertionSort;25918197
3800;Random(0-4000);binaryInsertionSort;22338783
3800;AlmostSorted;binaryInsertionSort;586789
3800;ReversedSorted;binaryInsertionSort;43644527
3900;Random(0-5);binaryInsertionSort;27261093
3900;Random(0-4000);binaryInsertionSort;23483819
3900;AlmostSorted;binaryInsertionSort;609091
3900;ReversedSorted;binaryInsertionSort;45963927
4000;Random(0-5);binaryInsertionSort;28650287
4000;Random(0-4000);binaryInsertionSort;24680147
4000;AlmostSorted;binaryInsertionSort;633055
4000;ReversedSorted;binaryInsertionSort;48343327
4100;Random(0-5);binaryInsertionSort;30041749
4100;Random(0-4000);binaryInsertionSort;25856763
4100;AlmostSorted;binaryInsertionSort;3072495
4100;ReversedSorted;binaryInsertionSort;50782767
50;Random(0-5);stableCountingSort;29459
50;Random(0-4000);stableCountingSort;29459
50;AlmostSorted;stableCountingSort;29459
50;ReversedSorted;stableCountingSort;29459
100;Random(0-5);stableCountingSort;30209
100;Random(0-4000);stableCountingSort;30209
100;AlmostSorted;stableCountingSort;30209
100;ReversedSorted;stableCountingSort;30209
150;Random(0-5);stableCountingSort;30959
150;Random(0-4000);stableCountingSort;30959
150;AlmostSorted;stableCountingSort;30959
150;ReversedSorted;stableCountingSort;30959
200;Random(0-5);stableCountingSort;31709
200;Random(0-4000);stableCountingSort;31709
200;AlmostSorted;stableCountingSort;31709
200;ReversedSorted;stableCountingSort;31709
250;Random(0-5);stableCountingSort;32459
250;Random(0-4000);stableCountingSort;32459
250;AlmostSorted;stableCountingSort;32459
250;ReversedSorted;stableCountingSort;32459
300;Random(0-5);stableCountingSort;33209
300;Random(0-4000);stableCountingSort;33209
300;AlmostSorted;stableCountingSort;33209
300;ReversedSorted;stableCountingSort;33209
400;Random(0-5);stableCountingSort;34709
400;Random(0-4000);stableCountingSort;34709
400;AlmostSorted;stableCountingSort;34709
400;ReversedSorted;stableCountingSort;34709
500;Random(0-5);stableCountingSort;36209
500;Random(0-4000);stableCountingSort;36209
500;AlmostSorted;stableCountingSort;36209
500;ReversedSorted;stableCountingSort;36209
600;Random(0-5);stableCountingSort;37709
600;Random(0-4000);stableCountingSort;37709
600;AlmostSorted;stableCountingSort;37709
600;ReversedSorted;stableCountingSort;37709
700;Random(0-5);stableCountingSort;39209
700;Random(0-4000);stableCountingSort;39209
700;AlmostSorted;stableCountingSort;39209
700;ReversedSorted;stableCountingSort;39209
800;Random(0-5);stableCountingSort;40709
800;Random(0-4000);stableCountingSort;40709
800;AlmostSorted;stableCountingSort;40709
800;ReversedSorted;stableCountingSort;40709
900;Random(0-5);stableCountingSort;42209
900;Random(0-4000);stableCountingSort;42209
900;AlmostSorted;stableCountingSort;42209
900;ReversedSorted;stableCountingSort;42209
1000;Random(0-5);stableCountingSort;43709
1000;Random(0-4000);stableCountingSort;43709
1000;AlmostSorted;stableCountingSort;43709
1000;ReversedSorted;stableCountingSort;43709
1100;Random(0-5);stableCountingSort;45209
1100;Random(0-4000);stableCountingSort;45209
1100;AlmostSorted;stableCountingSort;45209
1100;ReversedSorted;stableCountingSort;45209
1200;Random(0-5);stableCountingSort;46709
1200;Random(0-4000);stableCountingSort;46709
1200;AlmostSorted;stableCountingSort;46709
1200;ReversedSorted;stableCountingSort;46709
1300;Random(0-5);stableCountingSort;48209
1300;Random(0-4000);stableCountingSort;48209
1300;AlmostSorted;stableCountingSort;48209
1300;ReversedSorted;stableCountingSort;48209
1400;Random(0-5);stableCountingSort;49709
1400;Random(0-4000);stableCountingSort;49709
1400;AlmostSorted;stableCountingSort;49709
1400;ReversedSorted;stableCountingSort;49709
1500;Random(0-5);stableCountingSort;51209
1500;Random(0-4000);stableCountingSort;51209
1500;AlmostSorted;stableCountingSort;51209
1500;ReversedSorted;stableCountingSort;51209
1600;Random(0-5);stableCountingSort;52709
1600;Random(0-4000);stableCountingSort;52709
1600;AlmostSorted;stableCountingSort;52709
1600;ReversedSorted;stableCountingSort;52709
1700;Random(0-5);stableCountingSort;54209
1700;Random(0-4000);stableCountingSort;54209
1700;AlmostSorted;stableCountingSort;54209
1700;ReversedSorted;stableCountingSort;54209
1800;Random(0-5);stableCountingSort;55709
1800;Random(0-4000);stableCountingSort;55709
1800;AlmostSorted;stableCountingSort;55709
1800;ReversedSorted;stableCountingSort;55709
1900;Random(0-5);stableCountingSort;57209
1900;Random(0-4000);stableCountingSort;57209
1900;AlmostSorted;stableCountingSort;57209
1900;ReversedSorted;stableCountingSort;57209
2000;Random(0-5);stableCountingSort;58709
2000;Random(0-4000);stableCountingSort;58709
2000;AlmostSorted;stableCountingSort;58709
2000;ReversedSorted;stableCountingSort;58709
2100;Random(0-5);stableCountingSort;60209
2100;Random(0-4000);stableCountingSort;60209
2100;AlmostSorted;stableCountingSort;60209
2100;ReversedSorted;stableCountingSort;60209
2200;Random(0-5);stableCountingSort;61709
2200;Random(0-4000);stableCountingSort;61709
2200;AlmostSorted;stableCountingSort;61709
2200;ReversedSorted;stableCountingSort;61709
2300;Random(0-5);stableCountingSort;63209
2300;Random(0-4000);stableCountingSort;63209
2300;AlmostSorted;stableCountingSort;63209
2300;ReversedSorted;stableCountingSort;63209
2400;Random(0-5);stableCountingSort;64709
2400;Random(0-4000);stableCountingSort;64709
2400;AlmostSorted;stableCountingSort;64709
2400;ReversedSorted;stableCountingSort;64709
2500;Random(0-5);stableCountingSort;66209
2500;Random(0-4000);stableCountingSort;66209
2500;AlmostSorted;stableCountingSort;66209
2500;ReversedSorted;stableCountingSort;66209
2600;Random(0-5);stableCountingSort;67709
2600;Random(0-4000);stableCountingSort;67709
2600;AlmostSorted;stableCountingSort;67709
2600;ReversedSorted;stableCountingSort;67709
2700;Random(0-5);stableCountingSort;69209
2700;Random(0-4000);stableCountingSort;69209
2700;AlmostSorted;stableCountingSort;69209
2700;ReversedSorted;stableCountingSort;69209
2800;Random(0-5);stableCountingSort;70709
2800;Random(0-4000);stableCountingSort;70709
2800;AlmostSorted;stableCountingSort;70709
2800;ReversedSorted;stableCountingSort;70709
2900;Random(0-5);stableCountingSort;72209
2900;Random(0-4000);stableCountingSort;72209
2900;AlmostSorted;stableCountingSort;72209
2900;ReversedSorted;stableCountingSort;72209
3000;Random(0-5);stableCountingSort;73709
3000;Random(0-4000);stableCountingSort;73709
3000;AlmostSorted;stableCountingSort;73709
3000;ReversedSorted;stableCountingSort;73709
3100;Random(0-5);stableCountingSort;75209
3100;Random(0-4000);stableCountingSort;75209
3100;AlmostSorted;stableCountingSort;75209
3100;ReversedSorted;stableCountingSort;75209
3200;Random(0-5);stableCountingSort;76709
3200;Random(0-4000);stableCountingSort;76709
3200;AlmostSorted;stableCountingSort;76709
3200;ReversedSorted;stableCountingSort;76709
3300;Random(0-5);stableCountingSort;78209
3300;Random(0-4000);stableCountingSort;78209
3300;AlmostSorted;stableCountingSort;78209
3300;ReversedSorted;stableCountingSort;78209
3400;Random(0-5);stableCountingSort;79709
3400;Random(0-4000);stableCountingSort;79709
3400;AlmostSorted;stableCountingSort;79709
3400;ReversedSorted;stableCountingSort;79709
3500;Random(0-5);stableCountingSort;81209
3500;Random(0-4000);stableCountingSort;81209
3500;AlmostSorted;stableCountingSort;81209
3500;ReversedSorted;stableCountingSort;81209
3600;Random(0-5);stableCountingSort;82709
3600;Random(0-4000);stableCountingSort;82709
3600;AlmostSorted;stableCountingSort;82709
