datasetSize;arrayType;sortType;operations
3200;AlmostSorted;selectionSort;25611529
3200;ReversedSorted;selectionSort;28171194
3300;Random(0-5);selectionSort;27241368
3300;Random(0-4000);selectionSort;27257803
3300;AlmostSorted;selectionSort;27237144
3300;ReversedSorted;selectionSort;29959044
3400;Random(0-5);selectionSort;28916883
3400;Random(0-4000);selectionSort;28933977
3400;AlmostSorted;selectionSort;28912803
3400;ReversedSorted;selectionSort;31801894
3500;Random(0-5);selectionSort;30642348
3500;Random(0-4000);selectionSort;30659991
3500;AlmostSorted;selectionSort;30638451
3500;ReversedSorted;selectionSort;33699744
3600;Random(0-5);selectionSort;32417902
3600;Random(0-4000);selectionSort;32436674
3600;AlmostSorted;selectionSort;32414150
3600;ReversedSorted;selectionSort;35652594
3700;Random(0-5);selectionSort;34243414
3700;Random(0-4000);selectionSort;34262292
3700;AlmostSorted;selectionSort;34239299
3700;ReversedSorted;selectionSort;37660444
3800;Random(0-5);selectionSort;36118941
3800;Random(0-4000);selectionSort;36137851
3800;AlmostSorted;selectionSort;36114807
3800;ReversedSorted;selectionSort;39723294
3900;Random(0-5);selectionSort;38044406
3900;Random(0-4000);selectionSort;38064450
3900;AlmostSorted;selectionSort;38040117
3900;ReversedSorted;selectionSort;41841144
4000;Random(0-5);selectionSort;40019852
4000;Random(0-4000);selectionSort;40040692
4000;AlmostSorted;selectionSort;40014116
4000;ReversedSorted;selectionSort;44013994
4100;Random(0-5);selectionSort;42045391
4100;Random(0-4000);selectionSort;42067172
4100;AlmostSorted;selectionSort;42057986
4100;ReversedSorted;selectionSort;46241844
50;Random(0-5);bubbleSort;13027
50;Random(0-4000);bubbleSort;13523
50;AlmostSorted;bubbleSort;11307
50;ReversedSorted;bubbleSort;16023
100;Random(0-5);bubbleSort;51708
100;Random(0-4000);bubbleSort;53556
100;AlmostSorted;bubbleSort;45452
100;ReversedSorted;bubbleSort;64548
150;Random(0-5);bubbleSort;117677
150;Random(0-4000);bubbleSort;121397
150;AlmostSorted;bubbleSort;102141
150;ReversedSorted;bubbleSort;145573
200;Random(0-5);bubbleSort;210826
200;Random(0-4000);bubbleSort;217378
200;AlmostSorted;bubbleSort;181450
200;ReversedSorted;bubbleSort;259098
250;Random(0-5);bubbleSort;334627
250;Random(0-4000);bubbleSort;344959
250;AlmostSorted;bubbleSort;283375
250;ReversedSorted;bubbleSort;405123
300;Random(0-5);bubbleSort;481188
