datasetSize;arrayType;sortType;time
3200;AlmostSorted;selectionSort;20089169
3200;ReversedSorted;selectionSort;19467128
3300;Random(0-5);selectionSort;21729641
3300;Random(0-4000);selectionSort;21064418
3300;AlmostSorted;selectionSort;21282337
3300;ReversedSorted;selectionSort;20465323
3400;Random(0-5);selectionSort;22243852
3400;Random(0-4000);selectionSort;23254850
3400;AlmostSorted;selectionSort;22155395
3400;ReversedSorted;selectionSort;21656481
3500;Random(0-5);selectionSort;23835115
3500;Random(0-4000);selectionSort;23607495
3500;AlmostSorted;selectionSort;23564935
3500;ReversedSorted;selectionSort;22664983
3600;Random(0-5);selectionSort;25373490
3600;Random(0-4000);selectionSort;25395168
3600;AlmostSorted;selectionSort;24988615
3600;ReversedSorted;selectionSort;23701569
3700;Random(0-5);selectionSort;25978041
3700;Random(0-4000);selectionSort;26548172
3700;AlmostSorted;selectionSort;26141467
3700;ReversedSorted;selectionSort;25493319
3800;Random(0-5);selectionSort;28003261
3800;Random(0-4000);selectionSort;29178513
3800;AlmostSorted;selectionSort;27909729
3800;ReversedSorted;selectionSort;26722795
3900;Random(0-5);selectionSort;29249941
3900;Random(0-4000);selectionSort;29806161
3900;AlmostSorted;selectionSort;28867503
3900;ReversedSorted;selectionSort;28282354
4000;Random(0-5);selectionSort;30692039
4000;Random(0-4000);selectionSort;30902293
4000;AlmostSorted;selectionSort;31156239
4000;ReversedSorted;selectionSort;30079549
4100;Random(0-5);selectionSort;33136768
4100;Random(0-4000);selectionSort;33686904
4100;AlmostSorted;selectionSort;33245095
4100;ReversedSorted;selectionSort;32934213
50;Random(0-5);bubbleSort;9661
50;Random(0-4000);bubbleSort;10612
50;AlmostSorted;bubbleSort;5336
50;ReversedSorted;bubbleSort;14726
100;Random(0-5);bubbleSort;37675
100;Random(0-4000);bubbleSort;43071
100;AlmostSorted;bubbleSort;20870
100;ReversedSorted;bubbleSort;57622
150;Random(0-5);bubbleSort;88551
150;Random(0-4000);bubbleSort;99066
150;AlmostSorted;bubbleSort;51059
150;ReversedSorted;bubbleSort;131578
200;Random(0-5);bubbleSort;159614
200;Random(0-4000);bubbleSort;176564
200;AlmostSorted;bubbleSort;77501
200;ReversedSorted;bubbleSort;241903
250;Random(0-5);bubbleSort;274054
250;Random(0-4000);bubbleSort;291238
250;AlmostSorted;bubbleSort;117987
250;ReversedSorted;bubbleSort;373631
300;Random(0-5);bubbleSort;516711
300;Random(0-4000);bubbleSort;423134
300;AlmostSorted;bubbleSort;254015
300;ReversedSorted;bubbleSort;587299
400;Random(0-5);bubbleSort;706825
400;Random(0-4000);bubbleSort;802797
400;AlmostSorted;bubbleSort;312919
400;ReversedSorted;bubbleSort;938093
500;Random(0-5);bubbleSort;1110817
500;Random(0-4000);bubbleSort;1194484
500;AlmostSorted;bubbleSort;483702
500;ReversedSorted;bubbleSort;1491403
600;Random(0-5);bubbleSort;1676929
600;Random(0-4000);bubbleSort;1776216
600;AlmostSorted;bubbleSort;690821
600;ReversedSorted;bubbleSort;2106625
700;Random(0-5);bubbleSort;2391687
700;Random(0-4000);bubbleSort;2446971
700;AlmostSorted;bubbleSort;985502
700;ReversedSorted;bubbleSort;2870884
800;Random(0-5);bubbleSort;3163646
800;Random(0-4000);bubbleSort;3230419
800;AlmostSorted;bubbleSort;1220505
800;ReversedSorted;bubbleSort;3752495
900;Random(0-5);bubbleSort;3908501
900;Random(0-4000);bubbleSort;4536851
900;AlmostSorted;bubbleSort;1604094
900;ReversedSorted;bubbleSort;4740881
1000;Random(0-5);bubbleSort;4890924
1000;Random(0-4000);bubbleSort;5200998
1000;AlmostSorted;bubbleSort;1904856
1000;ReversedSorted;bubbleSort;5878392
1100;Random(0-5);bubbleSort;6163045
1100;Random(0-4000);bubbleSort;6306558
1100;AlmostSorted;bubbleSort;2278251
1100;ReversedSorted;bubbleSort;7123995
1200;Random(0-5);bubbleSort;7177138
1200;Random(0-4000);bubbleSort;7635921
1200;AlmostSorted;bubbleSort;2715912
1200;ReversedSorted;bubbleSort;8585386
1300;Random(0-5);bubbleSort;8406301
1300;Random(0-4000);bubbleSort;8911166
1300;AlmostSorted;bubbleSort;3138201
1300;ReversedSorted;bubbleSort;10020018
1400;Random(0-5);bubbleSort;9904436
1400;Random(0-4000);bubbleSort;10527137
1400;AlmostSorted;bubbleSort;3620724
1400;ReversedSorted;bubbleSort;11468355
1500;Random(0-5);bubbleSort;11543721
1500;Random(0-4000);bubbleSort;12065257
1500;AlmostSorted;bubbleSort;4198184
1500;ReversedSorted;bubbleSort;13221187
1600;Random(0-5);bubbleSort;12974679
1600;Random(0-4000);bubbleSort;13757275
1600;AlmostSorted;bubbleSort;4737959
1600;ReversedSorted;bubbleSort;15098730
1700;Random(0-5);bubbleSort;14325882
1700;Random(0-4000);bubbleSort;15128634
1700;AlmostSorted;bubbleSort;5316079
1700;ReversedSorted;bubbleSort;16112160
1800;Random(0-5);bubbleSort;16148268
1800;Random(0-4000);bubbleSort;17324508
1800;AlmostSorted;bubbleSort;5954924
1800;ReversedSorted;bubbleSort;18325592
1900;Random(0-5);bubbleSort;17965338
1900;Random(0-4000);bubbleSort;19893817
1900;AlmostSorted;bubbleSort;6676497
1900;ReversedSorted;bubbleSort;21173891
2000;Random(0-5);bubbleSort;20563183
2000;Random(0-4000);bubbleSort;21663776
2000;AlmostSorted;bubbleSort;7352878
2000;ReversedSorted;bubbleSort;24803348
2100;Random(0-5);bubbleSort;23459699
2100;Random(0-4000);bubbleSort;23970778
2100;AlmostSorted;bubbleSort;8117821
2100;ReversedSorted;bubbleSort;25902326
2200;Random(0-5);bubbleSort;28129494
2200;Random(0-4000);bubbleSort;31570511
2200;AlmostSorted;bubbleSort;13863645
2200;ReversedSorted;bubbleSort;29372544
2300;Random(0-5);bubbleSort;29524702
2300;Random(0-4000);bubbleSort;29150735
2300;AlmostSorted;bubbleSort;10171572
2300;ReversedSorted;bubbleSort;31454772
2400;Random(0-5);bubbleSort;31258600
2400;Random(0-4000);bubbleSort;30571084
2400;AlmostSorted;bubbleSort;11270532
2400;ReversedSorted;bubbleSort;33762744
2500;Random(0-5);bubbleSort;33985088
2500;Random(0-4000);bubbleSort;37209004
2500;AlmostSorted;bubbleSort;11549792
2500;ReversedSorted;bubbleSort;48821617
2600;Random(0-5);bubbleSort;36206265
2600;Random(0-4000);bubbleSort;44265357
2600;AlmostSorted;bubbleSort;18044780
2600;ReversedSorted;bubbleSort;40279225
2700;Random(0-5);bubbleSort;37970112
2700;Random(0-4000);bubbleSort;45872750
2700;AlmostSorted;bubbleSort;14416821
2700;ReversedSorted;bubbleSort;49019538
2800;Random(0-5);bubbleSort;60242959
2800;Random(0-4000);bubbleSort;51482612
2800;AlmostSorted;bubbleSort;14821508
2800;ReversedSorted;bubbleSort;47085400
2900;Random(0-5);bubbleSort;42993722
2900;Random(0-4000);bubbleSort;46383199
